Query,Run,Execution Time (s)
select1,1,0.3271768093109131
select2,1,20.25082492828369
select3,1,13.000071287155151
delete,1,5.849984169006348
select1,2,0.09934735298156738
select2,2,18.934108018875122
select3,2,12.882590293884277
delete,2,5.996639966964722
select1,3,0.08288908004760742
select2,3,18.940782070159912
select3,3,12.704766035079956
delete,3,5.73642897605896
select1,4,0.07571792602539062
select2,4,19.141777992248535
select3,4,13.450953960418701
delete,4,6.052865028381348
select1,5,0.09508180618286133
select2,5,19.293379068374634
select3,5,12.445766925811768
delete,5,5.956706762313843
