Query,Run,Execution Time (s)
select1,1,0.3411221504211426
select2,1,19.844748735427856
select3,1,13.147887706756592
delete,1,6.227055072784424
select1,2,0.09650588035583496
select2,2,19.81576108932495
select3,2,13.034807920455933
delete,2,6.16858983039856
select1,3,0.0805356502532959
select2,3,19.821627140045166
select3,3,13.193564176559448
delete,3,5.836222171783447
select1,4,0.3320348262786865
select2,4,19.605645179748535
select3,4,13.090739011764526
delete,4,6.465322971343994
select1,5,0.10187816619873047
select2,5,19.81231999397278
select3,5,13.320410966873169
delete,5,6.226853847503662
