Run,delete,select1,select2,select3
1,0.022849082946777344,0.28147315979003906,0.7899940013885498,0.036682844161987305
2,0.013482809066772461,0.028851747512817383,0.704430103302002,0.009855985641479492
3,0.013160943984985352,0.03470206260681152,0.6967518329620361,0.009520769119262695
4,0.014744997024536133,0.029015779495239258,0.8371551036834717,0.01139688491821289
5,0.01662898063659668,0.03096175193786621,0.6956737041473389,0.011751174926757812
