Query,Run,Execution Time (s)
select1,1,0.3574051856994629
select2,1,20.042191982269287
select3,1,13.053321838378906
delete,1,5.97293496131897
select1,2,0.08973574638366699
select2,2,19.37324023246765
select3,2,12.64373779296875
delete,2,6.062403202056885
select1,3,0.07840919494628906
select2,3,19.80043911933899
select3,3,13.11694884300232
delete,3,6.099016189575195
select1,4,0.09726309776306152
select2,4,20.052794933319092
select3,4,13.381512880325317
delete,4,5.985876083374023
select1,5,0.09521889686584473
select2,5,19.16834306716919
select3,5,12.654230117797852
delete,5,5.784012079238892
