Query,Run,Execution Time (s)
select1,1,0.353269100189209
select2,1,20.04874277114868
select3,1,12.64411211013794
delete,1,5.816241025924683
select1,2,0.0912637710571289
select2,2,19.543282985687256
select3,2,12.567456007003784
delete,2,6.170724868774414
select1,3,0.09720396995544434
select2,3,19.06173324584961
select3,3,12.570616960525513
delete,3,5.940851926803589
select1,4,0.07860803604125977
select2,4,19.368270874023438
select3,4,12.614837884902954
delete,4,6.156697034835815
select1,5,0.09624290466308594
select2,5,19.5069899559021
select3,5,12.880998134613037
delete,5,5.946104049682617
